,ANOVA statistic (Batch Effect),ANOVA Pval (Batch Effect),Proportion of Variance (Batch Effect),Kruskal-Wallis statistic (Batch Effect),Kruskal-Wallis Pval (Batch Effect)
T Cells.R9_Program5,42.20860705880226,1.9204390171475227e-24,0.8560089115571041,65.023949456362,8.479890957725833e-09
T Cells.R9_Program6,6.755784204665256,1.1051559728850914e-06,0.48757862455670875,38.27181898325006,0.00011379835533364473
T Cells.R9_Program7,4.39464626598541,0.0002366467515970205,0.3823211401459049,35.99603291213634,0.00023995449378284283
T Cells.R9_Program8,29.33080151101617,3.8030791745355634e-20,0.8051099699836947,63.63657067293559,1.0927530509542924e-08
T Cells.R9_Program9,0.7827027329264337,0.6676041661264162,0.0992937015951453,7.096091683808368,0.7466112661618638
Keratinocytes.R25_Program1,1.4865222316621938,0.2055929178234961,0.17312273718697757,24.28438142815162,0.011979808024736213
Keratinocytes.R25_Program2,5.405363688427281,2.2653747856122202e-05,0.4322436214653649,38.259256538348495,0.00011379835533364473
Keratinocytes.R25_Program3,9.022472356307336,1.2476608840472385e-08,0.559620891691442,45.865339406406065,7.48428240917456e-06
Keratinocytes.R25_Program4,2.6991944566929162,0.012011660667609154,0.2754506473590131,26.82089332941524,0.0056355918145170126
Keratinocytes.R25_Program5,2.8346014562483175,0.009412516884648475,0.28532613701030846,20.83646782250952,0.03294952347386589
Keratinocytes.R25_Program6,5.241502717613206,3.2379119100514386e-05,0.4247053894120027,30.507860711137255,0.0016101667834045527
Keratinocytes.R25_Program7,13.000499921560229,1.539892702233081e-11,0.6467749544684515,51.99948574786953,1.126146992451752e-06
Keratinocytes.R25_Program8,1.0442119810803565,0.45325692064801043,0.12821522616382566,10.668233911254731,0.42405627805021934
Keratinocytes.R25_Program9,1.2483779289489432,0.32467728855370115,0.1495353875415788,10.323317660887426,0.4490059581529776
Keratinocytes.R25_Program10,1.2119006774653942,0.3451052286684077,0.14580307495143788,24.970908022333276,0.009748005810189484
Keratinocytes.R25_Program11,1.2629079033253654,0.3172983985770888,0.15101301101536604,21.432412577137825,0.02816958072221386
Keratinocytes.R25_Program12,2.2575947406399806,0.03415593948316489,0.2412580158911199,23.63965618571848,0.014491396023387792
Keratinocytes.R25_Program13,2.7351739554770096,0.011679983958568521,0.2781012280879736,23.386717602115766,0.015640969150841254
Keratinocytes.R25_Program14,1.6312185570522302,0.15241249800355067,0.18682599071291034,12.90368792242134,0.26910946715631817
Keratinocytes.R25_Program15,1.6947015341217164,0.13386953430840523,0.19269574158333933,16.65853658536588,0.1077511946993476
Keratinocytes.R25_Program16,2.9111832935052986,0.008292066095051627,0.2907931268618279,48.06222450778728,4.067590757074561e-06
Keratinocytes.R25_Program17,3.8658079432414874,0.000810126362506337,0.3525328879778608,38.03232441962973,0.00011796898371279463
Keratinocytes.R25_Program18,10.480462281772208,1.0196239053751642e-09,0.5961425879363007,50.444460769908915,1.8178304287581496e-06
Keratinocytes.R25_Program19,2.717026873024367,0.011843647905668676,0.27676677553876583,23.209521010872777,0.01644291482302839
Keratinocytes.R25_Program20,1.2439703284088615,0.3251463254078642,0.14908613998464185,13.595430502497777,0.23323063442203848
Keratinocytes.R25_Program21,9.493565989892023,5.3055012631925914e-09,0.5721233154871612,58.1384072876873,1.0040754360214206e-07
Keratinocytes.R25_Program22,3.1337513834635518,0.004905799768944589,0.30621726735782323,22.434836908610066,0.020745960652049686
Keratinocytes.R25_Program23,2.8233049488047652,0.009581231245413838,0.28451256545782405,31.18836320893331,0.0012629377689860471
Keratinocytes.R25_Program24,4.320095415528916,0.0002710622867125466,0.37828890725855924,21.866588304437244,0.02461296558642481
Keratinocytes.R25_Program25,3.949845559593009,0.0006610435997320871,0.35745708284256705,26.202909197766644,0.006860606202075508
