,factor_idx,cell_type_compared,"CL_A vs HC1, pval","CL_UA vs HC1, pval","SSC_A vs HC1, pval","SSC_UA vs HC2, pval","HC1 vs HC2, pval","CL_A vs HC1, pval adjusted (FDR)","CL_UA vs HC1, pval adjusted (FDR)","SSC_A vs HC1, pval adjusted (FDR)","SSC_UA vs HC2, pval adjusted (FDR)","HC1 vs HC2, pval adjusted (FDR)",factor,cell_type,population_size
1127,70,Keratinocytes,9.124674546567496e-67,9.537451596460234e-66,5.729851664618411e-63,4.9497163996899163e-23,0.13351570068225746,9.043757621343219e-66,1.862462202089428e-64,7.678293569959315e-62,5.543893442978919e-22,0.2789808972489652,70-X-global-X-all_glyoxylate-dicarboxylate_metabolism,global,261290.0
1128,70,MDC,0.4666172358597207,0.5028768873424572,0.11107946551528966,0.12305598478137973,0.9184820681171165,0.5448189241989582,0.6519823704690982,0.18401148923109953,0.23243772603574808,0.9537035587703525,70-X-global-X-all_glyoxylate-dicarboxylate_metabolism,global,261290.0
1129,70,Melanocytes,0.06362503967061227,3.413693656900382e-17,4.9796313706152805e-23,1.3278139702252307e-15,1.29515350211335e-12,0.09681991117894735,2.1788739708016655e-16,3.3665384285511027e-22,1.0747313999373093e-14,2.018825325401017e-11,70-X-global-X-all_glyoxylate-dicarboxylate_metabolism,global,261290.0
1130,70,NK,0.02493328675826516,0.6609025208138244,0.47506619533229266,0.3023243806654248,0.16395564579884614,0.04197340060528269,0.7822715055959936,0.5870436895037717,0.45878160730002315,0.32672951721598587,70-X-global-X-all_glyoxylate-dicarboxylate_metabolism,global,261290.0
1131,70,Schwann Cells,0.5509568217891514,0.47188579683153353,0.6488106548902862,0.4915977770906217,0.25221520575409695,0.6256325518500675,0.6247016357752131,0.7342099030889,0.6463987792383069,0.44430899996938544,70-X-global-X-all_glyoxylate-dicarboxylate_metabolism,global,261290.0
1132,70,Smooth Muscle Cells,0.41272827196051176,1.7682814272843518e-10,0.3711803944548584,0.0019069559382206957,0.13161448915399115,0.4921819778907079,8.648773126186871e-10,0.48904203964669457,0.006272535719144217,0.2760094753021034,70-X-global-X-all_glyoxylate-dicarboxylate_metabolism,global,261290.0
1133,70,T,0.07312308054108299,0.2802585051489447,0.012897793578059322,0.017842985737842054,0.03554705540583539,0.10924787886300028,0.42487674676692827,0.02724690153554245,0.04674773270867048,0.10389377621212167,70-X-global-X-all_glyoxylate-dicarboxylate_metabolism,global,261290.0
1134,70,Treg,9.921084710120534e-09,0.0218456272408807,0.03384190219802135,0.5663143080915076,0.07881979686360442,3.3688078850848846e-08,0.04974212392559441,0.06464907399654879,0.7122410621621932,0.1957637791605267,70-X-global-X-all_glyoxylate-dicarboxylate_metabolism,global,261290.0
1135,70,pDC,0.9011752015790798,0.25601504482980886,0.17871089151815578,0.5875938479556577,0.5126907602619233,0.9197344732649905,0.3959902362770572,0.2731496816840922,0.7240512510699202,0.6917967027115035,70-X-global-X-all_glyoxylate-dicarboxylate_metabolism,global,261290.0
1136,71,global,2.9445957981420317e-118,0.07367219228802245,8.745671855460917e-06,3.918857605349893e-12,2.6563108889764575e-06,4.9104640405206645e-117,0.14254144607328983,2.8803143734630845e-05,2.7015431759715206e-11,1.878008223390758e-05,71-X-global-X-all_NOTCH_signaling,global,261290.0
1137,71,B_memory,0.399481823851517,0.9273793337494391,0.5567300398353994,0.5411001725714977,0.8605594803035901,0.47866743172719406,0.9574535456340023,0.6576697700717429,0.6905731794261607,0.9193333821541757,71-X-global-X-all_NOTCH_signaling,global,261290.0
1138,71,CD4_T,1.4189557427284677e-05,0.39666456393886573,0.3885362589490984,0.5985156743245599,0.3935047764865294,3.7645325841174954e-05,0.549404772071113,0.5064468903870009,0.733151877491705,0.5861990940832703,71-X-global-X-all_NOTCH_signaling,global,261290.0
1139,71,CD8_T,0.00035185278192726956,0.0052694451799494895,0.26655551754089934,0.6546618868832208,0.07487038181160013,0.0008025543480086613,0.013682845047095734,0.37660466208777416,0.7780404732573662,0.18826908360762828,71-X-global-X-all_NOTCH_signaling,global,261290.0
1140,71,DC,0.059057955128770656,0.8975722706439765,0.4605256735775858,0.2773253600759664,0.5793143819295985,0.09063476126647549,0.9409194048478963,0.5736640652841021,0.43125817539344335,0.7476998644413221,71-X-global-X-all_NOTCH_signaling,global,261290.0
1141,71,Endothelial Cells,5.39208724336508e-06,1.7445784839776262e-09,4.1579642648653355e-11,0.0009272100205924026,0.004900801208297593,1.4852980749552576e-05,7.989773998547926e-09,1.8943439968202608e-10,0.0032064741528452212,0.01902727919230396,71-X-global-X-all_NOTCH_signaling,global,261290.0
1142,71,Fibroblasts,1.3331658504801464e-11,4.439726748705033e-22,0.4558042231781477,0.32028261304524597,0.14827882983716004,5.134252355258217e-11,3.346037964267939e-21,0.5696739434581989,0.47905596991078503,0.3033133540243776,71-X-global-X-all_NOTCH_signaling,global,261290.0
1143,71,Keratinocytes,0.0002364432992886805,1.6361239758964784e-13,1.5378052770471584e-18,0.6359807662106105,1.517910038393502e-05,0.0005500605186729135,9.12373592928259e-13,9.107205321678379e-18,0.7618715997501339,9.436191043409546e-05,71-X-global-X-all_NOTCH_signaling,global,261290.0
1144,71,MDC,0.024482460625057947,0.03907199576570107,0.24471471508354736,0.0870384487573725,0.05006135919807154,0.04129941093880199,0.08236163473404001,0.3514178234920378,0.1780424343156066,0.13756435815774143,71-X-global-X-all_NOTCH_signaling,global,261290.0
1145,71,Melanocytes,0.06929493813465233,0.02159455612373699,0.010289370243826415,0.00020387621966695243,0.06134735561748802,0.10444944333467107,0.04925584164914912,0.022169836706653057,0.0007788812959349099,0.16032719356152467,71-X-global-X-all_NOTCH_signaling,global,261290.0
1146,71,NK,0.028022736731387013,0.8412265688668605,0.7438763720787476,0.8252025385923623,0.3915073347843192,0.04659811207659891,0.9077574293873497,0.8081866768417086,0.8924827949816099,0.5840920277256543,71-X-global-X-all_NOTCH_signaling,global,261290.0
1147,71,Schwann Cells,7.000664584939285e-05,0.03289512166383945,0.08742210483119099,0.06641657888300677,0.0602760946971341,0.0001731379052009702,0.07140416285130108,0.149878693432848,0.14221520150797948,0.15855299221033822,71-X-global-X-all_NOTCH_signaling,global,261290.0
1148,71,Smooth Muscle Cells,0.204902231269652,0.5316716481829777,0.004609532868782089,0.09567720560678707,0.0011856499002686014,0.2723561287599904,0.6751810658229137,0.010795308140754488,0.19251517861603532,0.00531417997108444,71-X-global-X-all_NOTCH_signaling,global,261290.0
1149,71,T,0.6008288478852953,0.78206991308305,0.39843142065130643,0.41269101608930137,0.627460561428458,0.6698024893521346,0.8701997994969839,0.5174239394820813,0.5742691145740663,0.7816102274564121,71-X-global-X-all_NOTCH_signaling,global,261290.0
1150,71,Treg,0.041659943959153914,0.9803817921386012,0.21660920640759906,0.08291526694364001,0.08785747321716851,0.06680088083560302,0.9885843335834907,0.3182792059466064,0.17060473844690208,0.21238624335471062,71-X-global-X-all_NOTCH_signaling,global,261290.0
1151,71,pDC,0.6273792699019219,0.5929800980174267,0.24507388408317632,0.9136266610628591,0.8272593465627113,0.6920670526658539,0.7291946314562415,0.3516452098030388,0.9439970201737212,0.9000814721404148,71-X-global-X-all_NOTCH_signaling,global,261290.0
1152,72,global,0.0,3.898488765345621e-160,1.063917032462212e-92,0.005949275641335599,1.0037368318826177e-28,0.0,3.1028426491455374e-158,1.9748255023053005e-91,0.01771629531969155,7.323096635943598e-27,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1153,72,B_memory,0.3609984953326537,0.575564304053287,0.914739305964601,0.09736898319360693,0.1011066480847031,0.43998262087759393,0.7145921269657094,0.9383178235172913,0.19492350179726264,0.2346943094957779,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1154,72,CD4_T,5.286614518428315e-05,0.07605966429407304,0.09219936676505538,0.8547680423909285,0.31996446876604157,0.00013230388787662667,0.1463521672295845,0.15678966449233925,0.9124365732033685,0.5096341280861177,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1155,72,CD8_T,0.41753261106800477,0.84819947759743,0.4997925293154215,0.6256259419351242,0.11344375815355452,0.49711436482046734,0.912096592798219,0.609426684422913,0.7543353274304141,0.25664085339389403,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1156,72,DC,0.5997280629964756,0.653684423753864,0.08944614981132541,0.9910855202972556,0.005240302217757674,0.6688686868196362,0.7772304839246373,0.15275052827012106,0.9939236804355639,0.02015176248161132,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1157,72,Endothelial Cells,1.2704445340521679e-44,1.4952763515373454e-12,1.493467184976462e-16,4.2592615718949474e-05,2.2952776928027244e-11,9.960664384143342e-44,7.998662601451807e-12,8.301781082202493e-16,0.00017631127688860646,3.148066245507235e-10,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1158,72,Fibroblasts,5.028939230784898e-65,4.639112529403829e-70,2.5424221078995067e-92,0.09903777156611675,0.09141047271878286,4.910226353032169e-64,9.987400867605867e-69,4.653429732681571e-91,0.19721205990781324,0.21885470967639212,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
1159,72,Keratinocytes,1.8914870344246956e-294,3.6415477007919955e-89,2.1044536327798514e-43,7.2274892660929686e-40,8.235173775623527e-57,9.837605338448441e-293,1.1523524139915875e-87,2.0624430845135374e-42,1.4546360580377916e-38,2.703710490209399e-54,72-X-global-X-all_protein-degradation-proteasome,global,261290.0
